state,sex,age,date,proportion
Johor,both,15-24,2016-01-01,99.3
Johor,both,15-24,2017-01-01,99.1
Johor,both,15-24,2018-01-01,98.6
Johor,both,15-24,2019-01-01,98.6
Johor,both,15-24,2020-01-01,97.9
Johor,both,15-24,2021-01-01,98.7
Johor,both,15-24,2022-01-01,99.3
Kedah,both,15-24,2016-01-01,97.9
Kedah,both,15-24,2017-01-01,98.3
Kedah,both,15-24,2018-01-01,97.9
Kedah,both,15-24,2019-01-01,98.4
Kedah,both,15-24,2020-01-01,97.8
Kedah,both,15-24,2021-01-01,98.5
Kedah,both,15-24,2022-01-01,98.0
Kelantan,both,15-24,2016-01-01,98.0
Kelantan,both,15-24,2017-01-01,98.2
Kelantan,both,15-24,2018-01-01,97.6
Kelantan,both,15-24,2019-01-01,98.1
Kelantan,both,15-24,2020-01-01,98.2
Kelantan,both,15-24,2021-01-01,99.4
Kelantan,both,15-24,2022-01-01,99.2
Melaka,both,15-24,2016-01-01,99.5
Melaka,both,15-24,2017-01-01,99.2
Melaka,both,15-24,2018-01-01,99.3
Melaka,both,15-24,2019-01-01,99.3
Melaka,both,15-24,2020-01-01,99.2
Melaka,both,15-24,2021-01-01,99.6
Melaka,both,15-24,2022-01-01,99.2
Negeri Sembilan,both,15-24,2016-01-01,99.2
Negeri Sembilan,both,15-24,2017-01-01,99.3
Negeri Sembilan,both,15-24,2018-01-01,99.0
Negeri Sembilan,both,15-24,2019-01-01,98.1
Negeri Sembilan,both,15-24,2020-01-01,97.9
Negeri Sembilan,both,15-24,2021-01-01,99.6
Negeri Sembilan,both,15-24,2022-01-01,99.4
Pahang,both,15-24,2016-01-01,98.8
Pahang,both,15-24,2017-01-01,98.3
Pahang,both,15-24,2018-01-01,98.9
Pahang,both,15-24,2019-01-01,98.8
Pahang,both,15-24,2020-01-01,98.3
Pahang,both,15-24,2021-01-01,98.5
Pahang,both,15-24,2022-01-01,99.4
Perak,both,15-24,2016-01-01,99.0
Perak,both,15-24,2017-01-01,98.6
Perak,both,15-24,2018-01-01,99.2
Perak,both,15-24,2019-01-01,99.3
Perak,both,15-24,2020-01-01,99.5
Perak,both,15-24,2021-01-01,99.4
Perak,both,15-24,2022-01-01,99.6
Perlis,both,15-24,2016-01-01,99.3
Perlis,both,15-24,2017-01-01,98.8
Perlis,both,15-24,2018-01-01,99.3
Perlis,both,15-24,2019-01-01,99.5
Perlis,both,15-24,2020-01-01,99.4
Perlis,both,15-24,2021-01-01,99.8
Perlis,both,15-24,2022-01-01,99.8
Pulau Pinang,both,15-24,2016-01-01,99.0
Pulau Pinang,both,15-24,2017-01-01,99.2
Pulau Pinang,both,15-24,2018-01-01,98.2
Pulau Pinang,both,15-24,2019-01-01,99.2
Pulau Pinang,both,15-24,2020-01-01,99.5
Pulau Pinang,both,15-24,2021-01-01,97.7
Pulau Pinang,both,15-24,2022-01-01,99.4
Sabah,both,15-24,2016-01-01,90.2
Sabah,both,15-24,2017-01-01,88.1
Sabah,both,15-24,2018-01-01,86.2
Sabah,both,15-24,2019-01-01,85.3
Sabah,both,15-24,2020-01-01,90.2
Sabah,both,15-24,2021-01-01,88.1
Sabah,both,15-24,2022-01-01,94.4
Sarawak,both,15-24,2016-01-01,99.4
Sarawak,both,15-24,2017-01-01,99.1
Sarawak,both,15-24,2018-01-01,98.9
Sarawak,both,15-24,2019-01-01,99.1
Sarawak,both,15-24,2020-01-01,99.1
Sarawak,both,15-24,2021-01-01,99.4
Sarawak,both,15-24,2022-01-01,98.9
Selangor,both,15-24,2016-01-01,98.8
Selangor,both,15-24,2017-01-01,99.4
Selangor,both,15-24,2018-01-01,99.5
Selangor,both,15-24,2019-01-01,99.4
Selangor,both,15-24,2020-01-01,99.5
Selangor,both,15-24,2021-01-01,99.7
Selangor,both,15-24,2022-01-01,99.7
Terengganu,both,15-24,2016-01-01,98.8
Terengganu,both,15-24,2017-01-01,98.4
Terengganu,both,15-24,2018-01-01,97.5
Terengganu,both,15-24,2019-01-01,97.4
Terengganu,both,15-24,2020-01-01,97.5
Terengganu,both,15-24,2021-01-01,98.2
Terengganu,both,15-24,2022-01-01,99.1
W.P. Kuala Lumpur,both,15-24,2016-01-01,99.5
W.P. Kuala Lumpur,both,15-24,2017-01-01,98.7
W.P. Kuala Lumpur,both,15-24,2018-01-01,99.4
W.P. Kuala Lumpur,both,15-24,2019-01-01,98.8
W.P. Kuala Lumpur,both,15-24,2020-01-01,98.4
W.P. Kuala Lumpur,both,15-24,2021-01-01,99.3
W.P. Kuala Lumpur,both,15-24,2022-01-01,99.9
W.P. Labuan,both,15-24,2016-01-01,95.4
W.P. Labuan,both,15-24,2017-01-01,95.1
W.P. Labuan,both,15-24,2018-01-01,96.4
W.P. Labuan,both,15-24,2019-01-01,93.7
W.P. Labuan,both,15-24,2020-01-01,94.5
W.P. Labuan,both,15-24,2021-01-01,94.6
W.P. Labuan,both,15-24,2022-01-01,98.9
W.P. Putrajaya,both,15-24,2016-01-01,99.7
W.P. Putrajaya,both,15-24,2017-01-01,99.3
W.P. Putrajaya,both,15-24,2018-01-01,99.6
W.P. Putrajaya,both,15-24,2019-01-01,99.5
W.P. Putrajaya,both,15-24,2020-01-01,99.6
W.P. Putrajaya,both,15-24,2021-01-01,100.0
W.P. Putrajaya,both,15-24,2022-01-01,100.0

